title,category,description
 Notebook Positivo Motion White Q432A - Intel Atom Cherry 4GB 32GB 14” Windows 10 ,Notebook," Estamos em um mundo cada vez tecnológico e mergulhar nesse mundo é cada vez mais necessário. A Positivo sabe disso e pensou em você na hora de criar o Notebook Motion White Q432A. Unindo a beleza e a praticidade, ele vem com um design incrível e dentro dele muita tecnologia. Composto por processador Atom Cherry Trail Z8300, sistema operacional Windows 10 Home com memória RAM de 4GB (onboard) e um HD com capacidade de 32GB (Memória Flash onboard) e 64GB de armazenamento na nuvem gratuito por 1 ano, tudo isso para que você tenha boa velocidade e bastante capacidade para armazenar fotos, vídeos e programas de uso pessoal e profissional. a tela de LED 14"" com resolução HD 1366x768 de alta resolução, você poderá ver suas séries favoritas (vem com botão de acesso rápido ao Netflix) com muita qualidade. Conta também com a segurança de acesso fingerprint, que permite o acesso ultra seguro e rápido através do reconhecimento digital.Mergulhe nesse mundo digital e esteja sempre bem atualizado!        "
"Notebook Acer Aspire ES1-572-3562, Intel Core153 i3 6006U, 15.6”, 4gb, 1tb, Windows 10 Código: 571162",Notebook,"   ACESSÓRIOS INCLUSOS                Web Cam      Sim             CONECTIVIDADE                USB (2.0)      2              WI-FI      Sim              Bluetooth      4.0              VGA      N/A              USB (3.0)      1              TV      N/A              Porta Ethernet (RJ45)      1              Placa de Rede Wireless      N/A              Placa de Rede      N/A              HDMI      1              Entrada Microfone      Sim              Entrada Fone de Ouvido      Sim             ÁUDIO                Recurso      Estéreo              Efeitos de Áudio      N/A             CONTEÚDO DA EMBALAGEM                Manual do Usuário      Sim              Notebook      1              Certificado de Garantia      Sim              Cabo de Alimentação      Sim             MEMÓRIA                RAM      4              Tipos de Memória      DDR4              Memória Expansível      16GB (2 slots)             RECURSOS                Teclado Iluminado      Não              Teclado Numérico      Sim              Microfone      N/A              Leitor de Impressão Digital      Não              Drive Òptico      Não             ESPECIFICAÇÕES TÉCNICAS                Tensão / Voltagem      Bivolt              Cor      Preto              Peso do produto      2,4              Garantia do Produto      12 - Meses              Dimensões do produto      N/A              Placa Gráfica      N/A              Memória Gráfica      Integrada              Leitor de Cartão      Não              Bateria      4 células 3220 mAh             PROCESSADORES                Velocidade      2.0              Núcleo      N/A              Processador      Core I3              Memória Cache      3              Geração de Processadores      N/A              Família      6006U             SISTEMA OPERACIONAL                Sistema Operacional      Windows 10              Bits      64             TELA                Resolução      1.366 X 768              Polegadas      15.6              Tecnologia      LED             HD                Tipo      N/A              Rotação(HD)      5400              Armazenamento HD      1 TB             INFORMAÇÕES TÉCNICAS                GTIN      4713883200103 (EAN13)              NCM      84713019              Procedência      4-Nacional, produzido com PPB    "
Notebook Positivo Quad Core 2GB 32GB SSD Tela 14 Polegadas Windows 10 3001181,Notebook, Garantia do fornecedor de 12 meses    
Notebook Ultraportátil Dell XPS-7390-A20S 10ª geração Intel Core i7 8GB 512GB SSD 13.3” UltraHD Touch Windows 10 McAfee,Notebook,"SAC: 0800 970 3355 (Exclusivo para ativação de garantia) | Conteúdo da embalagem: Notebook, cabo de força, adaptador AC, manuais e 1 adaptador Dell DA300. | Imagens meramente ilustrativas."
Kit:Chromebook Acer C731-C9DA Celeron 4GB 32 eMMC 11.6” ChromeOS+Monitor Acer 21.5” FHD+Mochila Acer,Notebook,Contraste: 100 milhões:1 máx (ACM) 
" Notebook Vaio Fit 15S VJF155F11X-B6611B - Intel Core i5 4GB 1TB 15,6” Windows 10 ",Notebook," Com linhas simples e minimalistas, o Vaio Fit 15S VJF155F11X-B6611B proporciona aos que desejam um notebook de 15,6"", um design mais fino e leve para ser facilmente transportado.Surpreenda-se com a alta-performance do processador Intel Core i5-8250U Quad Core de 8a geração com Turbo Boost de até 3.40GHz, memória RAM de 4GB e HD de 1TB.Possui tela LED Widescreen, antirreflexiva com resolução 1366x768 de alta definição (HD) para quem precisa de mais espaço para trabalhar e assistir filmes em ótima qualidade e sistema operacional Windows 10 Home.        "
"Notebook Lenovo Ideapad 330-15IGM, Intel Celeron, Tela 15.6, HD 1TB, 4GB RAM, Windows 10 Home - Preto",Notebook," Notebook Lenovo Ideapad 330-15IGM, Intel Celeron, Tela 15.6'', HD 1TB, 4GB RAM, Windows 10 Home - Preto    "
" Notebook Dell Inspiron 210-ATIP Intel Core i5 4GB  - 1TB 15,6” Windows 10 Home ",Notebook," Ter um notebook hoje em dia oferece muita praticidade, tanto para usar em casa como levar pra onde você quiser. Os modelos mais atuais de notebook são cada vez mais leves e potentes, por isso, às vezes é comum usar ele por muito tempo, ele é bem rápido para atividades do dia a dia, seja de estudo, trabalho e até mesmo diversão. O notebook 210-ATIP Inspiron da Dell com tela de 15.6"" e processador Intel Core i5, é fabricado com 1TB de HD e 4GB de memória RAM, sistema operacional Windows 10 Home. Agora você já pode adquirir seu novo notebook, e fazer o melhor uso dele conforme suas necessidades.        "
 Geladeira/Refrigerador Electrolux Frost Free - Duplex 592L Painel Touch DB83 Branco ,Geladeira / Refrigerador," Refrigerador Duas Portas Bottom Freezer Frost Free 592 litros da Electrolux. Este é o refrigerador mais flexível do mercado: mais de 7.000 possibilidades de layout para adaptá-lo a diferentes ocasiões, ou seja, diversas opções de layout dão liberdade para o consumidor organizar o refrigerador de acordo com sua necessidade, além da possibilidade de armazenar grande capacidade de alimentos e bebidas. é o maior refrigerador Bottom Freezer duas portas do mercado com prateleiras deslizantes e encaixáveis para você organizar de acordo com sua necessidade. Duas prateleiras retráteis otimizando espaço e adequando de acordo com o que for armazenar. Tem ainda Potes herméticos para condimentos e pequenas frutas que podem ser alocados na divisória do gavetão, na porta do freezer ou do refrigerador, ou em qualquer local no interior do produto. A Gaveta Hortinatura preserva frutas e verduras por até 60% mais tempo que gavetas comuns (resultado 60% aferido em folhas verdes) e as funções podem ser reguladas no painel Blue Touch e você pode adaptar a temperatura de acordo com a ocasião. Supercapacidade do freezer de 195 litros para organizar e armazenar seus alimentos, além de design moderno que vai combinar com o seu ambiente..        "
Capinhas para iPhone 7 De Silicone (4 modelos) - Case,Celular e Smartphone, Material: Silicone Para iPhone 7      
